date,open,high,low,close,volume,barCount,average
20080319,14.875,17.25,13.75,14.125,7084856,1,14.125
20080320,14.6,16.25,14.375,16.09,1989848,1,16.0875
20080324,16.81,16.925,14.75,14.93,1496948,1,14.9325
20080325,15.145,16.065,14.955,15.815,871648,1,15.8125
20080326,15.68,16.12,15.395,15.99,431392,1,15.99
20080327,16.01,16.185,15.665,15.73,398348,1,15.7275
20080328,15.84,15.86,15.54,15.69,246980,1,15.69
20080331,15.65,15.87,15.515,15.59,221704,1,15.59
20080401,15.765,15.92,15.08,15.405,604316,1,15.4025
20080402,15.43,15.58,15.125,15.58,431128,34873,15.31175
20080403,15.49,16.575,15.455,16.375,723636,61494,16.073
20080404,16.225,16.33,15.94,16.12,352640,37516,16.171
20080407,16.275,16.45,16.005,16.26,279928,28664,16.249
20080408,16.225,17.06,16.205,17.025,521136,51808,16.717875
20080409,17.11,17.18,16.405,16.45,471872,47591,16.680125
20080410,16.54,16.685,16.28,16.53,218988,22178,16.532125
20080411,16.315,16.69,16.315,16.53,260664,25472,16.538375
20080414,16.675,16.81,16.385,16.42,280312,26002,16.565125
20080415,16.585,16.635,16.0,16.09,232572,24285,16.266375
20080416,16.155,16.74,16.14,16.535,245112,27323,16.4715
20080417,16.565,16.94,16.505,16.76,219412,24193,16.748875
20080418,17.05,17.615,16.8,17.25,784656,79177,17.2475
20080421,17.37,18.125,17.215,17.745,576256,62284,17.74675
20080422,17.995,18.1,17.5,17.57,463776,49445,17.78775
20080423,17.74,17.925,17.425,17.52,365640,35646,17.725625
20080424,17.8,18.245,17.51,18.075,364860,37307,17.882125
20080425,19.0,19.02,18.48,18.775,966340,102888,18.740375
20080428,19.14,19.325,18.725,18.91,1116232,125621,19.04575
20080429,18.54,20.22,17.75,20.22,1850856,203154,19.15975
20080430,20.315,21.205,20.27,20.865,1418252,159871,20.864125
20080501,21.105,21.91,20.975,21.35,1129520,128743,21.459625
20080502,21.825,21.875,20.25,20.69,1322400,167177,20.835875
20080505,20.715,21.375,20.205,21.265,675276,80337,20.977125
20080506,21.37,22.04,21.19,21.885,732416,82968,21.750625
20080507,22.21,22.46,21.915,22.125,979196,113343,22.187375
20080508,22.375,22.44,21.485,21.825,883940,108438,21.852
20080509,21.455,21.67,20.63,20.715,915628,115393,21.0225
20080512,20.915,21.12,19.525,20.475,1446692,184372,20.16625
20080513,20.46,20.875,20.2,20.595,514680,63647,20.6475
20080514,20.83,21.09,20.365,20.56,498212,59968,20.819875
20080515,20.635,20.735,20.28,20.565,351160,40753,20.484
20080516,20.675,20.715,20.315,20.595,330036,38042,20.49625
20080519,20.565,21.185,20.54,20.83,443532,51083,20.9105
20080520,20.72,20.96,20.48,20.685,394136,49177,20.67
20080521,20.67,20.86,20.13,20.215,400264,49380,20.538125
20080522,20.16,20.16,19.04,19.33,827676,90759,19.440125
20080523,18.96,19.33,18.785,19.09,407408,48278,19.01425
20080527,19.23,19.72,18.59,19.685,611640,74546,19.163375
20080528,20.075,20.49,19.885,20.48,509792,56043,20.16775
20080529,20.855,21.74,20.755,21.315,970016,115186,21.35575
20080530,21.52,21.89,21.455,21.59,677396,76528,21.659375
20080602,21.55,21.74,21.15,21.52,358144,43842,21.41525
20080603,21.755,21.99,21.51,21.89,459432,53134,21.7585
20080604,21.77,22.025,21.32,21.37,397188,45896,21.679
20080605,21.615,21.81,21.4,21.81,257160,30093,21.626625
20080606,21.475,21.495,20.885,20.915,405824,47180,21.12625
20080609,21.03,21.24,20.14,20.535,443616,54925,20.51275
20080610,20.085,20.72,19.905,20.08,348140,43020,20.376375
20080611,20.25,20.25,19.4,19.435,559844,69010,19.663875
20080612,19.74,20.19,19.635,19.89,413612,48599,19.90175
20080613,20.065,20.455,20.04,20.385,299432,35876,20.342375
20080616,20.36,20.875,20.275,20.815,332160,43582,20.62575
20080617,21.025,21.245,20.92,21.17,324480,39903,21.077
20080618,20.93,21.175,20.86,20.965,327408,35362,20.9815
20080619,20.865,21.1,20.405,21.065,362064,43552,20.798375
20080620,20.745,21.125,20.69,20.895,354848,42378,20.863
20080623,20.965,21.09,20.255,20.265,286640,35713,20.495875
20080624,20.015,20.735,19.63,20.665,484900,58551,20.2365
20080625,20.855,21.105,20.465,20.515,490448,62446,20.763
20080626,20.17,20.19,19.505,19.775,746500,85440,19.77725
20080627,19.715,20.72,19.635,20.65,1089388,123406,20.264875
20080630,20.49,20.71,20.075,20.33,474900,59677,20.298375
20080701,19.935,20.355,19.8,20.355,438504,59389,20.107125
20080702,20.5,20.6,19.825,19.855,329832,43608,20.169125
20080703,19.935,20.045,19.315,19.52,282716,35199,19.551
20080707,19.625,19.985,18.5,18.905,697692,86713,19.034375
20080708,18.685,19.875,18.065,19.765,831676,92354,18.8545
20080709,19.75,19.775,18.85,18.97,432844,54058,19.347625
20080710,18.94,19.405,18.475,19.315,513348,65918,18.9845
20080711,18.94,19.365,18.5,18.635,525772,58847,18.815
20080714,19.005,19.045,18.125,18.145,409912,51291,18.40325
20080715,17.87,17.87,16.825,17.105,817520,100885,17.36425
20080716,17.025,18.14,16.63,18.06,891692,99378,17.40375
20080717,18.425,18.765,17.84,18.765,617032,75870,18.41725
20080718,18.65,18.65,18.03,18.35,408736,50252,18.3
20080721,18.48,18.735,17.895,17.975,463928,54065,18.440375
20080722,17.4,18.56,16.975,18.51,642524,75816,17.700875
20080723,18.375,18.75,18.15,18.315,458084,56250,18.45575
20080724,18.23,18.435,17.49,17.52,340128,41369,17.9635
20080725,17.635,18.09,17.27,17.99,373736,44397,17.824125
20080728,18.105,18.4,17.565,17.635,344848,42688,17.932625
20080729,17.76,18.995,17.755,18.995,459956,57755,18.517875
20080730,19.365,19.725,18.565,19.615,690736,82538,19.2495
20080731,19.04,19.54,17.87,18.265,1438044,180826,18.660125
20080801,18.325,18.525,17.59,17.935,571724,73744,17.98575
20080804,17.94,18.4,17.875,18.125,420680,50399,18.174375
20080805,18.3,18.56,18.08,18.4,319612,41617,18.305
20080806,18.2,18.205,17.77,17.87,397680,52118,17.955375
20080807,17.695,17.815,17.335,17.375,405368,53429,17.550625
20080808,17.45,18.215,17.28,18.15,350920,45101,17.97725
20080811,18.09,19.125,17.99,18.7,538788,66076,18.719875
20080812,18.55,18.7,18.15,18.2,321136,40657,18.3665
20080813,18.19,18.545,18.12,18.485,283112,36212,18.33975
20080814,18.44,18.95,18.4,18.945,250584,34747,18.765375
20080815,18.995,19.135,18.71,18.95,248444,32063,18.945875
20080818,18.885,19.065,18.535,18.735,245388,30417,18.813
20080819,18.615,18.81,18.405,18.435,199108,26258,18.567125
20080820,18.525,18.675,18.415,18.645,175700,23889,18.55775
20080821,18.49,18.66,18.3,18.595,151096,20537,18.508375
20080822,18.84,18.95,18.46,18.525,194644,24554,18.6785
20080825,18.44,18.725,18.285,18.33,168404,23582,18.46375
20080826,18.42,18.575,18.22,18.335,180928,24755,18.3325
20080827,18.26,18.625,18.215,18.615,185524,23512,18.41325
20080828,18.69,18.955,18.545,18.915,252452,33543,18.80075
20080829,18.75,19.0,18.675,18.975,156124,21430,18.8785
20080902,19.21,19.375,18.6,18.745,281952,39698,19.006625
