date,open,high,low,close,volume,barCount,average
19800317,29.06,29.5,29.06,29.06,288,1,29.056
19800318,29.63,30.02,29.18,29.63,281,1,29.632
19800319,29.63,29.76,29.5,29.63,234,1,29.632
19800320,29.31,29.5,29.31,29.31,89,1,29.312
19800321,29.5,29.5,29.06,29.5,48,1,29.504
19800324,29.5,29.76,29.5,29.5,97,1,29.504
19800325,29.5,29.5,29.5,29.5,24,1,29.504
19800326,29.63,29.63,29.5,29.63,15,1,29.632
19800327,29.06,29.5,29.06,29.06,239,1,29.056
19800328,28.54,29.06,28.54,28.54,68,1,28.544
19800331,28.54,28.54,27.78,28.54,49,1,28.544
19800401,29.38,29.38,28.54,29.38,101,1,29.376
19800402,29.31,29.38,29.18,29.31,138,1,29.312
19800403,29.06,29.06,28.67,29.06,44,1,29.056
19800407,28.93,28.93,28.8,28.93,15,1,28.928
19800408,28.8,28.93,28.8,28.8,139,1,28.8
19800409,29.06,29.06,28.8,29.06,114,1,29.056
19800410,29.5,29.63,28.8,29.5,51,1,29.504
19800411,30.66,30.91,29.76,30.66,95,1,30.656
19800414,31.04,31.04,30.91,31.04,30,1,31.04
19800415,30.4,30.91,30.4,30.4,115,1,30.4
19800416,30.27,30.53,30.27,30.27,14,1,30.272
19800417,30.53,30.53,30.14,30.53,57,1,30.528
19800418,31.04,31.17,30.91,31.04,15,1,31.04
19800421,31.17,31.17,31.04,31.17,28,1,31.168
19800422,31.81,31.81,31.3,31.81,22,1,31.808
19800423,33.28,33.28,32.0,33.28,47,1,33.28
19800424,34.43,34.43,33.66,34.43,43,1,34.432
19800425,34.18,34.43,33.79,34.18,149,1,34.176
19800428,33.92,34.43,33.92,33.92,138,1,33.92
19800429,33.02,33.66,33.02,33.02,33,1,33.024
19800430,32.51,32.77,32.38,32.51,5,1,32.512
19800501,33.41,33.41,32.64,33.41,36,1,33.408
19800502,33.02,33.15,33.02,33.02,38,1,33.024
19800505,34.05,34.05,33.15,34.05,130,1,34.048
19800506,34.3,34.3,34.3,34.3,4,1,34.305
19800507,34.75,35.01,34.3,34.75,156,1,34.752
19800508,34.43,34.69,34.3,34.43,240,1,34.432
19800509,34.3,34.43,34.05,34.3,26,1,34.304
19800512,33.66,34.3,33.66,33.66,218,1,33.664
19800513,33.66,33.66,33.54,33.66,10,1,33.664
19800514,33.02,33.41,33.02,33.02,1274,1,33.024
19800515,33.41,33.41,33.02,33.41,11,1,33.408
19800516,33.79,33.79,33.28,33.79,26,1,33.792
19800519,33.79,33.79,33.41,33.79,34,1,33.792
19800520,33.54,33.54,33.54,33.54,4,1,33.535
19800521,33.02,33.79,32.51,33.02,419,1,33.024
19800522,33.66,33.66,32.64,33.66,47,1,33.664
19800523,34.05,34.05,33.92,34.05,24,1,34.048
19800527,34.3,34.69,34.3,34.3,14,1,34.3045
19800528,34.56,34.56,34.3,34.56,20,1,34.56
19800529,34.3,34.56,34.3,34.3,617,1,34.304
19800530,34.3,34.3,33.66,34.3,230,1,34.304
19800602,33.79,34.05,33.15,33.79,522,1,33.792
19800603,34.18,34.3,33.28,34.18,127,1,34.176
19800604,34.56,34.56,34.3,34.56,226,1,34.56
19800605,34.75,34.75,34.56,34.75,246,1,34.752
19800606,35.26,35.26,34.69,35.26,141,1,35.264
19800609,35.26,35.39,35.14,35.26,177,1,35.264
19800610,36.42,36.8,35.52,36.42,191,1,36.416
19800611,37.38,37.5,36.54,37.38,92,1,37.376
19800612,37.89,38.78,37.5,37.89,159,1,37.888
19800613,38.14,38.27,37.76,38.14,57,1,38.144
19800616,38.02,38.27,38.02,38.02,56,1,38.016
19800617,39.3,39.3,38.4,39.3,220,1,39.296
19800618,38.91,39.3,38.66,38.91,27,1,38.912
19800619,38.02,38.53,38.02,38.02,67,1,38.016
19800620,37.76,37.76,37.76,37.76,200,1,37.76
19800623,37.76,37.76,37.63,37.76,20,1,37.76
19800624,38.53,38.53,38.02,38.53,405,1,38.528
19800625,38.91,38.91,38.4,38.91,47,1,38.912
19800626,39.04,39.04,38.91,39.04,128,1,39.04
19800627,38.78,38.78,38.53,38.78,69,1,38.784
19800630,38.4,38.53,38.4,38.4,46,1,38.4
19800701,38.02,38.4,37.89,38.02,70,1,38.016
19800702,38.27,38.78,38.27,38.27,101,1,38.272
19800703,38.02,38.02,38.02,38.02,70,1,38.016
19800707,38.91,39.04,37.76,38.91,59,1,38.912
19800708,39.17,39.42,39.04,39.17,183,1,39.168
19800709,39.17,39.42,39.17,39.17,31,1,39.168
19800710,39.04,39.55,39.04,39.04,410,1,39.04
19800711,40.0,40.0,38.53,40.0,105,1,40.0
19800714,41.41,41.54,40.26,41.41,49,1,41.408
19800715,41.66,41.66,41.02,41.66,265,1,41.664
19800716,43.14,43.52,42.05,43.14,122,1,43.136
19800717,43.14,43.26,43.01,43.14,224,1,43.136
19800718,43.52,43.52,43.01,43.52,64,1,43.52
19800721,43.39,43.52,43.14,43.39,57,1,43.392
19800722,42.43,43.01,41.92,42.43,119,1,42.432
19800723,41.92,42.3,41.79,41.92,32,1,41.92
19800724,42.3,42.43,42.05,42.3,25,1,42.304
19800725,42.05,42.69,42.05,42.05,35,1,42.048
19800728,43.01,43.52,41.79,43.01,88,1,43.008
19800729,43.52,43.52,43.01,43.52,23,1,43.52
19800730,43.52,43.78,43.26,43.52,45,1,43.52
19800731,43.9,43.9,43.52,43.9,11,1,43.9035
19800801,43.14,43.9,43.01,43.14,563,1,43.136
19800804,42.56,43.01,42.56,42.56,32,1,42.56
19800805,42.43,42.43,42.3,42.43,101,1,42.432
19800806,43.01,43.01,42.18,43.01,78,1,43.008
19800807,43.9,43.9,42.75,43.9,25,1,43.904
19800808,45.06,45.31,44.03,45.06,151,1,45.056
19800811,46.02,46.02,45.31,46.02,66,1,46.016
19800812,47.3,47.94,46.53,47.3,70,1,47.296
19800813,47.04,47.3,46.66,47.04,162,1,47.04
19800814,47.81,48.0,47.55,47.81,39,1,47.808
19800815,49.41,50.3,48.26,49.41,94,1,49.408
19800818,48.13,49.02,48.13,48.13,50,1,48.128
19800819,47.04,48.13,47.04,47.04,118,1,47.04
19800820,45.63,46.78,45.5,45.63,59,1,45.632
19800821,47.04,47.17,45.76,47.04,41,1,47.04
19800822,48.26,48.51,48.26,48.26,33,1,48.256
19800825,50.3,50.3,48.9,50.3,57,1,50.304
19800826,49.92,50.05,49.28,49.92,166,1,49.92
19800827,49.41,49.54,49.28,49.41,282,1,49.408
19800828,48.9,49.15,48.51,48.9,61,1,48.896
19800829,48.26,48.64,48.26,48.26,26,1,48.256
19800902,48.0,48.0,47.68,48.0,21,1,48.0
19800903,48.64,48.9,48.0,48.64,175,1,48.64
19800904,48.9,49.79,48.9,48.9,135,1,48.896
19800905,49.02,49.02,49.02,49.02,230,1,49.024
19800908,49.28,49.41,48.64,49.28,51,1,49.28
19800909,49.02,49.66,49.02,49.02,231,1,49.024
19800910,49.66,49.66,48.64,49.66,76,1,49.664
19800911,50.56,50.56,49.66,50.56,156,1,50.56
19800912,52.54,52.67,51.39,52.54,221,1,52.544
19800915,54.02,54.27,53.06,54.02,150,1,54.016
19800916,55.3,55.3,53.76,55.3,65,1,55.296
19800917,54.91,55.3,54.78,54.91,295,1,54.912
19800918,54.4,54.53,54.14,54.4,65,1,54.4
19800919,54.91,55.04,54.53,54.91,31,1,54.912
19800922,54.27,54.53,53.63,54.27,28,1,54.272
19800923,53.31,54.02,53.31,53.31,24,1,53.312
19800924,50.69,52.03,50.43,50.69,265,1,50.688
19800925,50.56,50.56,50.3,50.56,5,1,50.56
19800926,50.05,50.18,50.05,50.05,6,1,50.0485
19800929,49.54,49.92,48.77,49.54,14,1,49.5355
19800930,50.05,50.18,49.28,50.05,63,1,50.048
19801001,52.54,52.54,50.43,52.54,47,1,52.544
19801002,54.02,54.02,53.06,54.02,34,1,54.016
19801003,54.27,54.91,54.27,54.27,25,1,54.272
19801006,54.14,54.53,54.02,54.14,36,1,54.144
19801007,53.38,53.63,53.38,53.38,16,1,53.3765
19801008,54.02,54.02,53.06,54.02,134,1,54.016
19801009,54.02,54.14,53.89,54.02,37,1,54.016
19801010,54.53,54.53,54.02,54.53,27,1,54.528
19801013,54.53,54.53,54.14,54.53,58,1,54.528
19801014,54.4,54.53,54.27,54.4,234,1,54.4
19801015,54.53,54.91,54.53,54.53,97,1,54.528
19801016,53.76,54.14,53.76,53.76,36,1,53.76
19801017,52.29,54.14,52.29,52.29,84,1,52.288
19801020,51.65,52.03,51.14,51.65,20,1,51.648
19801021,51.39,52.29,51.39,51.39,324,1,51.392
19801022,51.26,51.26,51.01,51.26,176,1,51.264
19801023,51.14,51.14,51.14,51.14,17,1,51.136
19801024,52.54,52.54,51.26,52.54,87,1,52.544
19801027,51.52,52.29,51.39,51.52,26,1,51.52
19801028,51.26,51.26,50.56,51.26,188,1,51.264
19801029,51.52,51.52,51.01,51.52,5,1,51.52
19801030,51.26,51.52,51.14,51.26,114,1,51.264
19801031,50.56,51.01,50.43,50.56,187,1,50.56
19801103,50.3,50.3,50.18,50.3,25,1,50.304
19801105,51.52,51.52,50.75,51.52,124,1,51.52
19801106,51.26,51.52,51.26,51.26,4,1,51.265
19801107,51.01,51.78,51.01,51.01,118,1,51.008
19801110,50.88,51.01,50.56,50.88,115,1,50.88
19801111,51.14,51.39,51.01,51.14,35,1,51.136
19801112,51.01,51.01,50.88,51.01,71,1,51.008
19801113,52.03,52.16,51.78,52.03,192,1,52.032
19801114,54.02,54.02,52.29,54.02,466,1,54.016
19801117,54.02,54.27,54.02,54.02,131,1,54.016
19801118,56.0,56.0,54.02,56.0,514,1,56.0
19801119,56.51,57.02,56.26,56.51,195,1,56.512
19801120,56.51,56.51,55.81,56.51,59,1,56.512
19801121,56.77,57.02,56.0,56.77,351,1,56.768
19801124,56.0,56.38,56.0,56.0,93,1,56.0
19801125,56.0,56.0,55.55,56.0,72,1,56.0
19801126,56.0,56.0,55.94,56.0,13,1,56.0
19801128,56.26,56.26,56.0,56.26,448,1,56.256
19801201,56.9,56.9,56.51,56.9,124,1,56.896
19801202,56.51,56.77,56.51,56.51,51,1,56.512
19801203,56.77,56.77,56.77,56.77,5,1,56.768
19801204,56.13,56.77,56.13,56.13,56,1,56.128
19801205,55.04,55.81,55.04,55.04,68,1,55.04
19801208,54.14,54.78,53.76,54.14,15,1,54.144
19801209,53.5,54.27,53.31,53.5,55,1,53.504
19801210,53.38,53.63,53.38,53.38,66,1,53.376
19801211,51.9,53.06,51.78,51.9,45,1,51.904
19801212,51.26,51.52,50.75,51.26,611,1,51.264
19801215,51.01,51.52,51.01,51.01,152,1,51.008
19801216,50.05,51.01,50.05,50.05,119,1,50.048
19801217,24.9,25.02,24.77,24.9,164,1,24.896
19801218,25.28,25.28,25.02,25.28,243,1,25.28
19801219,25.15,25.28,25.02,25.15,471,1,25.152
19801222,26.88,27.01,25.28,26.88,165,1,26.88
19801223,30.02,30.88,28.0,30.02,223,1,30.016
19801224,29.63,30.14,29.5,29.63,44,1,29.632
19801226,29.63,29.63,29.63,29.63,19,1,29.632
19801229,29.38,29.89,29.28,29.38,214,1,29.376
19801230,29.28,29.38,29.15,29.28,27,1,29.28
19801231,30.27,30.27,29.02,30.27,298,1,30.272
19810102,31.65,31.78,30.66,31.65,145,1,31.648
19810105,33.63,35.01,31.78,33.63,455,1,33.632
19810106,34.4,34.75,33.89,34.4,360,1,34.4
19810107,34.02,34.02,31.78,34.02,393,1,34.016
19810108,33.02,34.02,33.02,33.02,372,1,33.024
19810109,30.88,32.51,30.75,30.88,189,1,30.88
19810112,31.14,32.13,31.14,31.14,138,1,31.136
19810113,32.13,32.77,31.39,32.13,107,1,32.128
19810114,32.9,32.9,32.0,32.9,104,1,32.896
19810115,32.26,32.9,32.26,32.26,22,1,32.256
19810116,31.01,32.0,30.14,31.01,308,1,31.008
19810119,32.0,32.0,30.66,32.0,59,1,32.0
19810120,31.52,32.0,31.52,31.52,178,1,31.52
19810121,31.14,31.14,30.75,31.14,168,1,31.136
19810122,31.14,31.26,31.01,31.14,26,1,31.136
19810123,31.9,31.9,31.26,31.9,28,1,31.904
19810126,31.39,31.78,31.14,31.39,53,1,31.392
19810127,31.14,31.78,31.14,31.14,45,1,31.136
19810128,31.01,31.26,31.01,31.01,91,1,31.008
19810129,31.01,31.01,30.75,31.01,72,1,31.008
19810130,30.02,30.75,30.02,30.02,28,1,30.016
19810202,28.26,30.02,28.26,28.26,77,1,28.256
19810203,28.26,28.26,27.01,28.26,731,1,28.256
19810204,30.4,30.4,28.64,30.4,420,1,30.4
19810205,31.65,31.9,31.01,31.65,118,1,31.648
19810206,32.77,32.77,31.39,32.77,97,1,32.768
19810209,32.77,33.02,32.51,32.77,201,1,32.768
19810210,31.78,32.64,31.78,31.78,50,1,31.776
19810211,32.51,32.51,31.78,32.51,8,1,32.5125
19810212,32.9,33.02,32.51,32.9,375,1,32.896
19810213,32.26,32.51,32.0,32.26,43,1,32.256
19810217,32.51,32.9,31.39,32.51,42,1,32.512
19810218,32.26,32.64,32.0,32.26,53,1,32.256
19810219,31.78,32.0,31.78,31.78,120,1,31.776
19810220,31.39,31.9,31.39,31.39,16,1,31.392
19810223,31.39,31.39,30.75,31.39,71,1,31.392
19810224,31.01,32.0,31.01,31.01,126,1,31.008
19810225,30.4,31.14,30.4,30.4,49,1,30.4
19810226,30.53,30.88,30.27,30.53,130,1,30.528
