date,open,high,low,close,volume,barCount,average
20201104  09:30:00,114.01,114.48,112.35,113.55,194362,73926,113.361
20201104  10:00:00,113.55,115.51,113.5,114.89,238684,95148,114.692
20201104  11:00:00,114.89,115.22,113.81,115.11,135889,53268,114.543
20201104  12:00:00,115.1,115.59,114.67,115.19,123210,50104,115.217
20201104  13:00:00,115.19,115.51,114.62,114.86,117544,46171,115.036
20201104  14:00:00,114.87,115.17,114.44,115.03,112330,43247,114.84
20201104  15:00:00,115.04,115.5,114.57,114.94,179049,74724,114.985
20201105  09:30:00,117.93,119.62,116.86,118.77,217430,76346,118.418
20201105  10:00:00,118.77,119.24,117.58,118.4,208474,79105,118.321
20201105  11:00:00,118.39,118.59,117.92,118.11,105805,38571,118.229
20201105  12:00:00,118.12,118.38,117.41,117.98,103411,38667,117.862
20201105  13:00:00,117.98,118.47,117.84,118.41,78997,27455,118.16
20201105  14:00:00,118.4,119.27,118.34,119.16,120432,44110,118.832
20201105  15:00:00,119.16,119.3,118.45,118.99,171235,73064,118.942
20201106  09:30:00,118.32,118.64,116.13,116.29,160643,55973,117.139
20201106  10:00:00,116.3,117.9,116.13,117.42,148646,58624,117.15
20201106  11:00:00,117.41,118.82,117.3,118.74,121123,48085,118.134
20201106  12:00:00,118.74,119.19,118.28,118.88,105158,40945,118.783
20201106  13:00:00,118.89,119.2,118.83,119.0,66829,27693,119.029
20201106  14:00:00,119.0,119.17,118.22,118.47,85071,33511,118.753
20201106  15:00:00,118.47,119.06,118.09,118.69,149945,63150,118.577
20201109  09:30:00,120.5,121.69,118.48,119.74,206968,81009,119.956
20201109  10:00:00,119.73,121.99,119.67,120.63,220021,97376,121.018
20201109  11:00:00,120.64,121.68,119.72,120.56,148273,62355,120.856
20201109  12:00:00,120.57,120.96,120.0,120.81,117334,45117,120.564
20201109  13:00:00,120.81,121.0,119.38,119.64,110554,43985,120.175
20201109  14:00:00,119.63,119.82,118.2,118.52,130983,53119,118.952
20201109  15:00:00,118.54,118.94,116.05,116.32,225869,102577,117.625
20201110  09:30:00,115.56,117.59,115.36,115.81,151679,56613,116.467
20201110  10:00:00,115.8,116.94,114.13,115.0,188986,78555,115.475
20201110  11:00:00,115.0,117.33,114.9,116.67,141304,55774,116.311
20201110  12:00:00,116.68,117.47,115.81,116.92,125726,49067,116.858
20201110  13:00:00,116.93,117.59,115.88,116.87,147111,52422,116.746
20201110  14:00:00,116.85,117.29,115.99,116.75,152216,58818,116.728
20201110  15:00:00,116.74,117.02,115.73,115.97,172247,72143,116.418
20201111  09:30:00,117.18,118.08,116.44,117.71,150735,56567,117.476
20201111  10:00:00,117.71,118.5,117.64,118.18,157724,65137,118.105
20201111  11:00:00,118.17,118.78,117.83,118.78,96907,39144,118.272
20201111  12:00:00,118.78,119.48,118.53,119.23,112963,42629,119.064
20201111  13:00:00,119.22,119.56,119.04,119.12,87054,33947,119.29
20201111  14:00:00,119.11,119.54,118.71,118.93,95497,36761,119.157
20201111  15:00:00,118.93,119.63,118.81,119.5,130127,53496,119.227
20201112  09:30:00,119.7,120.04,118.81,119.72,141666,50625,119.464
20201112  10:00:00,119.73,120.53,119.5,120.21,152437,60383,120.095
20201112  11:00:00,120.22,120.53,119.03,119.59,122857,45955,119.742
20201112  12:00:00,119.6,120.21,118.97,119.49,136977,44093,119.757
20201112  13:00:00,119.48,119.5,118.57,119.14,100861,37908,119.067
20201112  14:00:00,119.13,119.3,118.58,119.07,92900,33238,118.917
20201112  15:00:00,119.07,119.47,118.8,119.23,124366,51368,119.122
20201113  09:30:00,119.45,119.68,118.37,118.4,105488,38670,119.073
20201113  10:00:00,118.4,118.74,117.87,118.02,125890,48579,118.295
20201113  11:00:00,118.04,118.77,117.93,118.73,81357,33201,118.306
20201113  12:00:00,118.73,119.05,118.62,118.96,67293,23704,118.81
20201113  13:00:00,118.96,119.26,118.49,118.59,69975,26802,118.935
20201113  14:00:00,118.58,118.9,118.2,118.87,68851,27043,118.557
20201113  15:00:00,118.87,119.57,118.8,119.25,126206,51495,119.23
20201116  09:30:00,118.88,120.14,118.14,119.95,140470,49482,119.298
20201116  10:00:00,119.95,120.72,119.8,120.67,139984,56173,120.324
20201116  11:00:00,120.68,120.83,120.3,120.75,82837,33245,120.577
20201116  12:00:00,120.75,120.99,120.28,120.43,75502,30770,120.678
20201116  13:00:00,120.43,120.59,120.0,120.22,72921,29397,120.273
20201116  14:00:00,120.22,120.37,119.79,119.91,67760,27969,120.074
20201116  15:00:00,119.91,120.5,119.64,120.35,114901,51019,119.948
20201117  09:30:00,119.53,120.31,118.96,119.14,111134,42242,119.604
20201117  10:00:00,119.14,120.53,119.11,120.36,110139,42515,119.876
20201117  11:00:00,120.36,120.4,119.6,120.21,77322,31148,119.982
20201117  12:00:00,120.22,120.49,120.01,120.48,54985,23294,120.267
20201117  13:00:00,120.47,120.68,120.28,120.36,51397,22609,120.465
20201117  14:00:00,120.36,120.62,119.96,120.01,59507,25459,120.365
20201117  15:00:00,120.01,120.15,119.32,119.38,111642,46651,119.708
20201118  09:30:00,118.61,119.39,118.24,118.79,117389,44411,118.826
20201118  10:00:00,118.77,119.5,118.4,119.48,97338,39597,118.901
20201118  11:00:00,119.49,119.59,119.07,119.52,64347,25277,119.33
20201118  12:00:00,119.51,119.82,119.44,119.55,56574,24419,119.646
20201118  13:00:00,119.54,119.7,119.12,119.32,54446,22338,119.399
20201118  14:00:00,119.32,119.34,118.8,119.34,62049,26294,119.085
20201118  15:00:00,119.33,119.62,118.0,118.0,120785,51914,118.803
20201119  09:30:00,117.67,118.12,116.81,117.94,134886,52205,117.401
20201119  10:00:00,117.95,118.3,117.5,117.76,98558,42236,117.915
20201119  11:00:00,117.78,118.38,117.65,118.13,68843,29001,118.03
20201119  12:00:00,118.14,118.35,117.57,117.73,60070,25408,117.931
20201119  13:00:00,117.72,118.14,117.54,118.1,52186,21906,117.849
20201119  14:00:00,118.1,118.7,117.9,118.63,64867,26650,118.258
20201119  15:00:00,118.64,119.06,118.43,118.64,99653,44071,118.678
20201120  09:30:00,118.64,118.66,117.84,118.13,114851,39161,118.25
20201120  10:00:00,118.13,118.64,118.06,118.47,78033,32716,118.35
20201120  11:00:00,118.47,118.77,117.9,117.99,75395,32440,118.339
20201120  12:00:00,117.98,118.3,117.88,118.27,58442,21696,118.134
20201120  13:00:00,118.28,118.29,117.9,117.96,49149,20130,118.073
20201120  14:00:00,117.96,118.1,117.7,117.87,56669,23475,117.919
20201120  15:00:00,117.87,117.96,117.29,117.32,126268,54934,117.598
20201123  09:30:00,117.19,117.63,116.73,117.01,128720,47577,117.16
20201123  10:00:00,117.01,117.07,115.1,115.43,188572,77317,115.77
20201123  11:00:00,115.44,115.45,113.8,114.5,181628,73756,114.576
20201123  12:00:00,114.5,115.33,114.27,115.3,101060,38737,114.878
20201123  13:00:00,115.29,115.36,114.59,114.61,83659,33015,114.928
